# Orbital parameters time-series from Laskar et al., 2004. Time-step = 1kyr
# eccentricity    	precession (°)   	obliquity (°)
4.040900000000000e-02	7.233769387599881e+03	2.367123564381434e+01
3.972100000000000e-02	7.251023152163552e+03	2.356781676179323e+01
3.896500000000000e-02	7.268235319991299e+03	2.344864154040602e+01
3.826300000000000e-02	7.285531655319150e+03	2.331743420532106e+01
3.751800000000000e-02	7.302743937738453e+03	2.317820546110427e+01
3.674400000000000e-02	7.320192221473572e+03	2.303542437855767e+01
3.595400000000000e-02	7.337420604006920e+03	2.289407569049889e+01
3.515500000000000e-02	7.354790220636768e+03	2.275897224240705e+01
3.433300000000000e-02	7.372249505161553e+03	2.263498417554074e+01
3.346600000000000e-02	7.389543147587766e+03	2.252675244804053e+01
3.258700000000000e-02	7.406967023320812e+03	2.243800128557476e+01
